Train No.,islno,station Code,Arrival time,Departure time,Distance
'10001',1,BTC ,'00:00:00','12:45:00',0
'10001',2,SMC ,'13:10:00','13:11:00',17
'10001',3,CRN ,'13:34:00','13:35:00',30
'10001',4,LTA ,'13:55:00','13:56:00',41
'10001',5,NWA ,'14:13:00','14:14:00',50
'10001',6,NIR ,'15:15:00','15:35:00',77
'10001',7,PDE ,'15:54:00','15:55:00',89
'10001',8,GNS ,'16:39:00','16:40:00',111
'10001',9,SKY ,'17:41:00','17:42:00',133
'10001',10,BUQ ,'18:26:00','18:27:00',159
'10001',11,HBG ,'19:20:00','19:22:00',185
'10001',12,JBP ,'19:35:00','00:00:00',187
'11471',1,INDB,'00:00:00','17:40:00',0
'11471',2,DWX ,'18:33:00','18:35:00',39
'11471',3,MKC ,'19:16:00','19:18:00',75
'11471',4,BCH ,'19:34:00','19:36:00',95
'11471',5,AKD ,'20:00:00','20:02:00',124
'11471',6,SJP ,'20:16:00','20:18:00',138
'11471',7,KPP ,'20:30:00','20:32:00',150
'11471',8,SEH ,'20:58:00','21:00:00',179
'11471',9,BIH ,'21:50:00','21:52:00',208
'11471',10,BPL ,'22:20:00','22:30:00',218
'11471',11,HBJ ,'22:40:00','22:42:00',224
'11471',12,ODG ,'23:05:00','23:07:00',254
'11471',13,HBD ,'23:48:00','23:50:00',292
'11471',14,ET  ,'00:50:00','01:10:00',310
'11471',15,PPI ,'02:03:00','02:05:00',377
'11471',16,GAR ,'02:37:00','02:39:00',426
'11471',17,NU  ,'03:10:00','03:12:00',471
'11471',18,MML ,'05:12:00','05:14:00',551
'11471',19,JBP ,'05:40:00','00:00:00',555
'11472',1,JBP ,'00:00:00','23:00:00',0
'11472',2,MML ,'23:06:00','23:08:00',4
'11472',3,NU  ,'00:13:00','00:15:00',85
'11472',4,GAR ,'00:45:00','00:47:00',129
'11472',5,PPI ,'01:23:00','01:25:00',178
'11472',6,ET  ,'03:20:00','03:35:00',246
'11472',7,HBD ,'03:51:00','03:53:00',263
'11472',8,ODG ,'04:38:00','04:40:00',301
'11472',9,HBJ ,'05:05:00','05:07:00',331
'11472',10,BPL ,'05:40:00','05:50:00',337
'11472',11,BIH ,'06:10:00','06:12:00',347
'11472',12,SEH ,'06:34:00','06:36:00',376
'11472',13,KPP ,'06:57:00','06:59:00',405
'11472',14,SJP ,'07:10:00','07:12:00',418
'11472',15,AKD ,'07:22:00','07:24:00',431
'11472',16,BCH ,'07:43:00','07:45:00',461
'11472',17,MKC ,'08:38:00','08:40:00',480
'11472',18,DWX ,'09:35:00','09:37:00',516
'11472',19,INDB,'10:45:00','00:00:00',555
'12062',1,JBP ,'00:00:00','06:00:00',0
'12062',2,MML ,'06:06:00','06:08:00',4
'12062',3,SRID,'06:39:00','06:41:00',54
'12062',4,NU  ,'07:13:00','07:15:00',85
'12062',5,KY  ,'07:28:00','07:30:00',100
'12062',6,GAR ,'07:49:00','07:51:00',129
'12062',7,PPI ,'08:23:00','08:25:00',178
'12062',8,ET  ,'09:35:00','09:45:00',246
'12062',9,HBD ,'10:03:00','10:05:00',263
'12062',10,HBJ ,'11:35:00','00:00:00',331
'12183',1,BPL ,'00:00:00','19:20:00',0
'12183',2,BHS ,'19:57:00','19:59:00',54
'12183',3,BINA,'21:00:00','21:05:00',139
'12183',4,LAR ,'21:47:00','21:49:00',202
'12183',5,JHS ,'23:12:00','23:22:00',291
'12183',6,ORAI,'00:48:00','00:50:00',405
'12183',7,CNB ,'04:00:00','04:05:00',511
'12183',8,LKO ,'05:25:00','05:45:00',585
'12183',9,RBL ,'07:28:00','07:30:00',663
'12183',10,AME ,'08:18:00','08:20:00',723
'12183',11,PBH ,'09:00:00','00:00:00',758
'12227',1,BCT ,'00:00:00','23:15:00',0
'12227',2,INDB,'11:20:00','00:00:00',829
'12433',1,MAS ,'00:00:00','06:10:00',0
'12433',2,BZA ,'11:50:00','12:00:00',431
'12433',3,WL  ,'14:39:00','14:40:00',639
'12433',4,NGP ,'20:35:00','20:45:00',1093
'12433',5,BPL ,'02:00:00','02:10:00',1481
'12433',6,JHS ,'05:26:00','05:31:00',1772
'12433',7,GWL ,'06:30:00','06:32:00',1869
'12433',8,AGC ,'07:55:00','07:57:00',1988
'12433',9,TKD ,'09:43:00','09:45:00',2164
'12433',10,NZM ,'10:25:00','00:00:00',2175
'12973',1,INDB,'00:00:00','22:25:00',0
'12973',2,DWX ,'23:01:00','23:03:00',39
'12973',3,UJN ,'23:55:00','00:05:00',80
'12973',4,NAD ,'01:05:00','01:30:00',135
'12973',5,KOTA,'04:05:00','04:15:00',360
'12973',6,SWM ,'05:55:00','06:10:00',467
'12973',7,DPA ,'07:55:00','07:57:00',591
'12973',8,JP  ,'08:20:00','00:00:00',599
'15159',1,CPR ,'00:00:00','07:20:00',0
'15159',2,SIP ,'07:45:00','07:47:00',29
'15159',3,STW ,'08:06:00','08:08:00',48
'15159',4,BUI ,'08:30:00','08:35:00',66
'15159',5,PEP ,'08:50:00','08:52:00',76
'15159',6,CBN ,'08:59:00','09:01:00',82
'15159',7,KMDR,'09:19:00','09:21:00',97
'15159',8,YFP ,'09:36:00','09:38:00',111
'15159',9,GCT ,'10:01:00','10:06:00',131
'15159',10,NDJ ,'10:22:00','10:24:00',149
'15159',11,ARJ ,'10:55:00','10:57:00',171
'15159',12,SRNT,'11:33:00','11:35:00',195
'15159',13,BCY ,'11:45:00','11:47:00',202
'15159',14,BSB ,'12:15:00','12:25:00',206
'15159',15,BOY ,'13:01:00','13:03:00',251
'15159',16,JNH ,'13:34:00','13:36:00',281
'15159',17,PLP ,'14:02:00','14:04:00',304
'15159',18,ALD ,'15:15:00','15:40:00',341
'15159',19,NYN ,'15:58:00','16:00:00',348
'15159',20,SRJ ,'16:26:00','16:28:00',386
'15159',21,DBR ,'16:53:00','16:55:00',418
'15159',22,MKP ,'17:40:00','17:45:00',441
'15159',23,MJG ,'18:12:00','18:14:00',478
'15159',24,JTW ,'18:32:00','18:34:00',499
'15159',25,STA ,'19:00:00','19:10:00',519
'15159',26,UHR ,'19:24:00','19:26:00',540
'15159',27,MYR ,'19:38:00','19:40:00',554
'15159',28,KTE ,'20:50:00','21:05:00',617
'15159',29,CHD ,'21:54:00','21:56:00',658
'15159',30,UMR ,'22:14:00','22:16:00',677
'15159',31,BRS ,'22:38:00','22:40:00',706
'15159',32,SDL ,'23:28:00','23:33:00',744
'15159',33,BUH ,'23:49:00','23:51:00',763
'15159',34,AAL ,'00:03:00','00:05:00',772
'15159',35,APR ,'00:20:00','00:25:00',785
'15159',36,PND ,'01:15:00','01:17:00',835
'15159',37,BIG ,'02:12:00','02:14:00',888
'15159',38,KGB ,'02:40:00','02:42:00',904
'15159',39,USL ,'03:26:00','03:28:00',927
'15159',40,BSP ,'04:05:00','04:25:00',936
'15159',41,BYL ,'04:43:00','04:45:00',951
'15159',42,BYT ,'05:08:00','05:10:00',982
'15159',43,TLD ,'05:28:00','05:30:00',1008
'15159',44,R   ,'06:10:00','06:20:00',1046
'15159',45,BPHB,'06:48:00','06:50:00',1073
'15159',46,DURG,'07:30:00','00:00:00',1083
'17019',1,AII ,'00:00:00','17:40:00',0
'17019',2,BJNR,'18:38:00','18:40:00',66
'17019',3,BHL ,'19:30:00','19:35:00',132
'17019',4,COR ,'20:55:00','21:05:00',186
'17019',5,NMH ,'21:53:00','22:02:00',242
'17019',6,MDS ,'22:41:00','22:43:00',291
'17019',7,RTM ,'00:25:00','00:50:00',375
'17019',8,NAD ,'01:30:00','01:32:00',416
'17019',9,UJN ,'02:30:00','02:40:00',471
'17019',10,BPL ,'06:15:00','06:20:00',655
'17019',11,ET  ,'08:10:00','08:20:00',747
'17019',12,HD  ,'09:30:00','09:32:00',822
'17019',13,KNW ,'11:40:00','11:45:00',930
'17019',14,BAU ,'12:33:00','12:35:00',999
'17019',15,BSL ,'13:25:00','13:35:00',1053
'17019',16,JL  ,'13:58:00','14:00:00',1078
'17019',17,MMR ,'16:20:00','16:25:00',1237
'17019',18,ANKX,'16:30:00','16:31:00',1244
'17019',19,NSL ,'16:59:00','17:00:00',1262
'17019',20,AWB ,'18:45:00','18:50:00',1351
'17019',21,J   ,'19:58:00','20:00:00',1413
'17019',22,PBN ,'22:58:00','23:00:00',1528
'17019',23,NED ,'00:25:00','00:30:00',1587
'17019',24,BSX ,'02:30:00','02:31:00',1668
'17019',25,NZB ,'03:15:00','03:20:00',1698
'17019',26,KMC ,'04:05:00','04:06:00',1750
'17019',27,MED ,'05:55:00','05:56:00',1830
'17019',28,MJF ,'06:49:00','06:51:00',1854
'17019',29,SC  ,'07:30:00','07:35:00',1858
'17019',30,HYB ,'08:10:00','00:00:00',1868
'18233',1,INDB,'00:00:00','17:15:00',0
'18233',2,MGG ,'17:31:00','17:33:00',15
'18233',3,BLAX,'17:41:00','17:43:00',26
'18233',4,DWX ,'18:03:00','18:05:00',39
'18233',5,NRGR,'18:19:00','18:21:00',49
'18233',6,UDM ,'18:32:00','18:34:00',55
'18233',7,KDHA,'18:41:00','18:43:00',62
'18233',8,VRG ,'18:58:00','19:00:00',74
'18233',9,UJN ,'19:10:00','19:40:00',80
'18233',10,TAN ,'20:06:00','20:07:00',111
'18233',11,MKC ,'20:18:00','20:20:00',121
'18233',12,BCH ,'20:34:00','20:36:00',140
'18233',13,KSH ,'20:47:00','20:49:00',152
'18233',14,AKD ,'21:05:00','21:07:00',170
'18233',15,SJP ,'21:18:00','21:20:00',183
'18233',16,KPP ,'21:31:00','21:33:00',195
'18233',17,SEH ,'22:10:00','22:12:00',224
'18233',18,BIH ,'22:58:00','23:00:00',253
'18233',19,BPL ,'23:15:00','23:25:00',263
'18233',20,HBJ ,'23:35:00','23:37:00',269
'18233',21,MDDP,'23:52:00','23:54:00',286
'18233',22,ODG ,'00:53:00','00:55:00',299
'18233',23,HBD ,'01:34:00','01:36:00',337
'18233',24,ET  ,'02:15:00','02:25:00',355
'18233',25,BGTA,'02:52:00','02:54:00',381
'18233',26,SGP ,'03:12:00','03:14:00',404
'18233',27,PPI ,'03:28:00','03:30:00',422
'18233',28,SCKR,'03:56:00','03:58:00',458
'18233',29,GAR ,'04:07:00','04:09:00',472
'18233',30,KY  ,'04:30:00','04:32:00',500
'18233',31,NU  ,'04:47:00','04:49:00',516
'18233',32,SRID,'05:14:00','05:16:00',547
'18233',33,MML ,'06:03:00','06:05:00',597
'18233',34,JBP ,'06:25:00','06:35:00',600
'18233',35,ADTL,'06:38:00','06:40:00',608
'18233',36,DOE ,'07:01:00','07:03:00',617
'18233',37,GSPR,'07:12:00','07:14:00',627
'18233',38,SHR ,'07:25:00','07:27:00',638
'18233',39,DDCE,'07:38:00','07:40:00',653
'18233',40,SBD ,'07:48:00','07:50:00',663
'18233',41,SNRR,'07:58:00','08:00:00',670
'18233',42,NWR ,'08:08:00','08:10:00',677
'18233',43,KTES,'09:15:00','09:20:00',689
'18233',44,KTE ,'09:30:00','09:32:00',691
'18233',45,JLW ,'09:49:00','09:51:00',703
'18233',46,RPD ,'10:01:00','10:03:00',715
'18233',47,CHD ,'10:17:00','10:19:00',732
'18233',48,UMR ,'10:40:00','10:42:00',751
'18233',49,KKI ,'10:50:00','10:52:00',763
'18233',50,NRZB,'11:02:00','11:04:00',773
'18233',51,BRS ,'11:11:00','11:13:00',781
'18233',52,SDL ,'12:00:00','12:10:00',818
'18233',53,BUH ,'12:25:00','12:27:00',837
'18233',54,AAL ,'12:35:00','12:37:00',846
'18233',55,APR ,'12:55:00','13:00:00',859
'18233',56,CLF ,'13:08:00','13:10:00',864
'18233',57,JTI ,'13:17:00','13:19:00',872
'18233',58,NIQ ,'13:27:00','13:29:00',883
'18233',59,VKR ,'13:36:00','13:38:00',890
'18233',60,HRB ,'13:46:00','13:48:00',901
'18233',61,PND ,'14:10:00','14:12:00',909
'18233',62,KOI ,'14:21:00','14:23:00',920
'18233',63,BHTK,'14:41:00','14:42:00',931
'18233',64,KGS ,'15:00:00','15:02:00',944
'18233',65,TGQ ,'15:10:00','15:12:00',952
'18233',66,BIG ,'15:20:00','15:22:00',962
'18233',67,SLKR,'15:29:00','15:31:00',970
'18233',68,KGB ,'15:38:00','15:40:00',978
'18233',69,KLTR,'15:48:00','15:50:00',986
'18233',70,GTK ,'16:14:00','16:16:00',994
'18233',71,USL ,'16:38:00','16:40:00',1001
'18233',72,BSP ,'17:15:00','00:00:00',1010
'19713',1,JP  ,'00:00:00','21:05:00',0
'19713',2,DPA ,'21:12:00','21:14:00',8
'19713',3,BNLW,'21:56:00','21:58:00',66
'19713',4,SWM ,'23:05:00','23:15:00',132
'19713',5,KOTA,'00:25:00','00:35:00',240
'19713',6,RMA ,'01:38:00','01:40:00',312
'19713',7,NAD ,'03:55:00','04:20:00',465
'19713',8,UJN ,'05:20:00','05:30:00',519
'19713',9,BCH ,'06:15:00','06:17:00',580
'19713',10,SJP ,'06:52:00','06:54:00',623
'19713',11,SEH ,'07:28:00','07:30:00',664
'19713',12,BPL ,'09:30:00','09:35:00',703
'19713',13,HBJ ,'09:45:00','09:47:00',709
'19713',14,ET  ,'12:00:00','12:10:00',795
'19713',15,BZU ,'13:53:00','13:55:00',901
'19713',16,AMLA,'14:24:00','14:26:00',924
'19713',17,NRKR,'15:48:00','15:50:00',1006
'19713',18,CNDB,'17:35:00','17:37:00',1101
'19713',19,NAVI,'18:12:00','18:15:00',1138
'19713',20,BD  ,'18:32:00','18:35:00',1144
'19713',21,MZR ,'19:08:00','19:10:00',1185
'19713',22,AK  ,'19:45:00','20:10:00',1223
'19713',23,WHM ,'21:14:00','21:15:00',1302
'19713',24,HNL ,'21:59:00','22:00:00',1349
'19713',25,PAU ,'23:30:00','23:40:00',1430
'19713',26,NED ,'00:25:00','00:30:00',1460
'19713',27,MUE ,'01:23:00','01:25:00',1483
'19713',28,BSX ,'02:30:00','02:31:00',1542
'19713',29,NZB ,'03:15:00','03:20:00',1571
'19713',30,KMC ,'04:05:00','04:06:00',1623
'19713',31,MED ,'05:55:00','05:56:00',1704
'19713',32,MJF ,'06:49:00','06:51:00',1728
'19713',33,SC  ,'07:30:00','00:00:00',1731
